Number	Type	Description
nhomalt_joint_mid_XY	A	Integer	Count of homozygous individuals in XY samples in the Middle Eastern genetic ancestry group in joint dataset
AC_joint_mid	A	Integer	Alternate allele count for samples in the Middle Eastern genetic ancestry group in joint dataset
AF_joint_mid	A	Float	Alternate allele frequency in samples in the Middle Eastern genetic ancestry group in joint dataset
AN_joint_mid	1	Integer	Total number of alleles in samples in the Middle Eastern genetic ancestry group in joint dataset
nhomalt_joint_mid	A	Integer	Count of homozygous individuals in samples in the Middle Eastern genetic ancestry group in joint dataset
AC_joint_nfe_XX	A	Integer	Alternate allele count for XX samples in the Non-Finnish European genetic ancestry group in joint dataset
AF_joint_nfe_XX	A	Float	Alternate allele frequency in XX samples in the Non-Finnish European genetic ancestry group in joint dataset
AN_joint_nfe_XX	1	Integer	Total number of alleles in XX samples in the Non-Finnish European genetic ancestry group in joint dataset
nhomalt_joint_nfe_XX	A	Integer	Count of homozygous individuals in XX samples in the Non-Finnish European genetic ancestry group in joint dataset
AC_joint_nfe_XY	A	Integer	Alternate allele count for XY samples in the Non-Finnish European genetic ancestry group in joint dataset
AF_joint_nfe_XY	A	Float	Alternate allele frequency in XY samples in the Non-Finnish European genetic ancestry group in joint dataset
AN_joint_nfe_XY	1	Integer	Total number of alleles in XY samples in the Non-Finnish European genetic ancestry group in joint dataset
nhomalt_joint_nfe_XY	A	Integer	Count of homozygous individuals in XY samples in the Non-Finnish European genetic ancestry group in joint dataset
AC_joint_nfe	A	Integer	Alternate allele count for samples in the Non-Finnish European genetic ancestry group in joint dataset
AF_joint_nfe	A	Float	Alternate allele frequency in samples in the Non-Finnish European genetic ancestry group in joint dataset
AN_joint_nfe	1	Integer	Total number of alleles in samples in the Non-Finnish European genetic ancestry group in joint dataset
nhomalt_joint_nfe	A	Integer	Count of homozygous individuals in samples in the Non-Finnish European genetic ancestry group in joint dataset
AC_joint_raw	A	Integer	Alternate allele count for samples, before removing low-confidence genotypes in joint dataset
AF_joint_raw	A	Float	Alternate allele frequency in samples, before removing low-confidence genotypes in joint dataset
AN_joint_raw	1	Integer	Total number of alleles in samples, before removing low-confidence genotypes in joint dataset
nhomalt_joint_raw	A	Integer	Count of homozygous individuals in samples, before removing low-confidence genotypes in joint dataset
AC_joint_remaining_XX	A	Integer	Alternate allele count for XX samples in the Remaining individuals genetic ancestry group in joint dataset
AF_joint_remaining_XX	A	Float	Alternate allele frequency in XX samples in the Remaining individuals genetic ancestry group in joint dataset
AN_joint_remaining_XX	1	Integer	Total number of alleles in XX samples in the Remaining individuals genetic ancestry group in joint dataset
nhomalt_joint_remaining_XX	A	Integer	Count of homozygous individuals in XX samples in the Remaining individuals genetic ancestry group in joint dataset
AC_joint_remaining_XY	A	Integer	Alternate allele count for XY samples in the Remaining individuals genetic ancestry group in joint dataset
AF_joint_remaining_XY	A	Float	Alternate allele frequency in XY samples in the Remaining individuals genetic ancestry group in joint dataset
AN_joint_remaining_XY	1	Integer	Total number of alleles in XY samples in the Remaining individuals genetic ancestry group in joint dataset
nhomalt_joint_remaining_XY	A	Integer	Count of homozygous individuals in XY samples in the Remaining individuals genetic ancestry group in joint dataset
AC_joint_remaining	A	Integer	Alternate allele count for samples in the Remaining individuals genetic ancestry group in joint dataset
AF_joint_remaining	A	Float	Alternate allele frequency in samples in the Remaining individuals genetic ancestry group in joint dataset
AN_joint_remaining	1	Integer	Total number of alleles in samples in the Remaining individuals genetic ancestry group in joint dataset
nhomalt_joint_remaining	A	Integer	Count of homozygous individuals in samples in the Remaining individuals genetic ancestry group in joint dataset
AC_joint_sas_XX	A	Integer	Alternate allele count for XX samples in the South Asian genetic ancestry group in joint dataset
AF_joint_sas_XX	A	Float	Alternate allele frequency in XX samples in the South Asian genetic ancestry group in joint dataset
AN_joint_sas_XX	1	Integer	Total number of alleles in XX samples in the South Asian genetic ancestry group in joint dataset
nhomalt_joint_sas_XX	A	Integer	Count of homozygous individuals in XX samples in the South Asian genetic ancestry group in joint dataset
AC_joint_sas_XY	A	Integer	Alternate allele count for XY samples in the South Asian genetic ancestry group in joint dataset
AF_joint_sas_XY	A	Float	Alternate allele frequency in XY samples in the South Asian genetic ancestry group in joint dataset
AN_joint_sas_XY	1	Integer	Total number of alleles in XY samples in the South Asian genetic ancestry group in joint dataset
nhomalt_joint_sas_XY	A	Integer	Count of homozygous individuals in XY samples in the South Asian genetic ancestry group in joint dataset
AC_joint_sas	A	Integer	Alternate allele count for samples in the South Asian genetic ancestry group in joint dataset
AF_joint_sas	A	Float	Alternate allele frequency in samples in the South Asian genetic ancestry group in joint dataset
AN_joint_sas	1	Integer	Total number of alleles in samples in the South Asian genetic ancestry group in joint dataset
nhomalt_joint_sas	A	Integer	Count of homozygous individuals in samples in the South Asian genetic ancestry group in joint dataset
AC_grpmax_joint	A	Integer	Allele count in the genetic ancestry group with the maximum allele frequency in joint dataset
AF_grpmax_joint	A	Float	Maximum allele frequency across genetic ancestry groups in joint dataset
AN_grpmax_joint	A	Integer	Total number of alleles in the genetic ancestry group with the maximum allele frequency in joint dataset
nhomalt_grpmax_joint	A	Integer	Count of homozygous individuals in the genetic ancestry group with the maximum allele frequency in joint dataset
faf95_joint_XX	A	Float	Filtering allele frequency (using Poisson 95% CI) for XX samples in joint dataset in non-PAR regions of sex chromosomes only
faf99_joint_XX	A	Float	Filtering allele frequency (using Poisson 99% CI) for XX samples in joint dataset in non-PAR regions of sex chromosomes only
faf95_joint_XY	A	Float	Filtering allele frequency (using Poisson 95% CI) for XY samples in joint dataset in non-PAR regions of sex chromosomes only
faf99_joint_XY	A	Float	Filtering allele frequency (using Poisson 99% CI) for XY samples in joint dataset in non-PAR regions of sex chromosomes only
faf95_joint	A	Float	Filtering allele frequency (using Poisson 95% CI) in joint dataset
faf99_joint	A	Float	Filtering allele frequency (using Poisson 99% CI) in joint dataset
faf95_joint_afr_XX	A	Float	Filtering allele frequency (using Poisson 95% CI) for XX samples in the African/African-American genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf99_joint_afr_XX	A	Float	Filtering allele frequency (using Poisson 99% CI) for XX samples in the African/African-American genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf95_joint_afr_XY	A	Float	Filtering allele frequency (using Poisson 95% CI) for XY samples in the African/African-American genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf99_joint_afr_XY	A	Float	Filtering allele frequency (using Poisson 99% CI) for XY samples in the African/African-American genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf95_joint_afr	A	Float	Filtering allele frequency (using Poisson 95% CI) for samples in the African/African-American genetic ancestry group in joint dataset
faf99_joint_afr	A	Float	Filtering allele frequency (using Poisson 99% CI) for samples in the African/African-American genetic ancestry group in joint dataset
faf95_joint_amr_XX	A	Float	Filtering allele frequency (using Poisson 95% CI) for XX samples in the Admixed American genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf99_joint_amr_XX	A	Float	Filtering allele frequency (using Poisson 99% CI) for XX samples in the Admixed American genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf95_joint_amr_XY	A	Float	Filtering allele frequency (using Poisson 95% CI) for XY samples in the Admixed American genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf99_joint_amr_XY	A	Float	Filtering allele frequency (using Poisson 99% CI) for XY samples in the Admixed American genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf95_joint_amr	A	Float	Filtering allele frequency (using Poisson 95% CI) for samples in the Admixed American genetic ancestry group in joint dataset
faf99_joint_amr	A	Float	Filtering allele frequency (using Poisson 99% CI) for samples in the Admixed American genetic ancestry group in joint dataset
faf95_joint_eas_XX	A	Float	Filtering allele frequency (using Poisson 95% CI) for XX samples in the East Asian genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf99_joint_eas_XX	A	Float	Filtering allele frequency (using Poisson 99% CI) for XX samples in the East Asian genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf95_joint_eas_XY	A	Float	Filtering allele frequency (using Poisson 95% CI) for XY samples in the East Asian genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf99_joint_eas_XY	A	Float	Filtering allele frequency (using Poisson 99% CI) for XY samples in the East Asian genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf95_joint_eas	A	Float	Filtering allele frequency (using Poisson 95% CI) for samples in the East Asian genetic ancestry group in joint dataset
faf99_joint_eas	A	Float	Filtering allele frequency (using Poisson 99% CI) for samples in the East Asian genetic ancestry group in joint dataset
faf95_joint_mid_XX	A	Float	Filtering allele frequency (using Poisson 95% CI) for XX samples in the Middle Eastern genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf99_joint_mid_XX	A	Float	Filtering allele frequency (using Poisson 99% CI) for XX samples in the Middle Eastern genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf95_joint_mid_XY	A	Float	Filtering allele frequency (using Poisson 95% CI) for XY samples in the Middle Eastern genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf99_joint_mid_XY	A	Float	Filtering allele frequency (using Poisson 99% CI) for XY samples in the Middle Eastern genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf95_joint_mid	A	Float	Filtering allele frequency (using Poisson 95% CI) for samples in the Middle Eastern genetic ancestry group in joint dataset
faf99_joint_mid	A	Float	Filtering allele frequency (using Poisson 99% CI) for samples in the Middle Eastern genetic ancestry group in joint dataset
faf95_joint_nfe_XX	A	Float	Filtering allele frequency (using Poisson 95% CI) for XX samples in the Non-Finnish European genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf99_joint_nfe_XX	A	Float	Filtering allele frequency (using Poisson 99% CI) for XX samples in the Non-Finnish European genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf95_joint_nfe_XY	A	Float	Filtering allele frequency (using Poisson 95% CI) for XY samples in the Non-Finnish European genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf99_joint_nfe_XY	A	Float	Filtering allele frequency (using Poisson 99% CI) for XY samples in the Non-Finnish European genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf95_joint_nfe	A	Float	Filtering allele frequency (using Poisson 95% CI) for samples in the Non-Finnish European genetic ancestry group in joint dataset
faf99_joint_nfe	A	Float	Filtering allele frequency (using Poisson 99% CI) for samples in the Non-Finnish European genetic ancestry group in joint dataset
faf95_joint_sas_XX	A	Float	Filtering allele frequency (using Poisson 95% CI) for XX samples in the South Asian genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf99_joint_sas_XX	A	Float	Filtering allele frequency (using Poisson 99% CI) for XX samples in the South Asian genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf95_joint_sas_XY	A	Float	Filtering allele frequency (using Poisson 95% CI) for XY samples in the South Asian genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf99_joint_sas_XY	A	Float	Filtering allele frequency (using Poisson 99% CI) for XY samples in the South Asian genetic ancestry group in joint dataset in non-PAR regions of sex chromosomes only
faf95_joint_sas	A	Float	Filtering allele frequency (using Poisson 95% CI) for samples in the South Asian genetic ancestry group in joint dataset
faf99_joint_sas	A	Float	Filtering allele frequency (using Poisson 99% CI) for samples in the South Asian genetic ancestry group in joint dataset
fafmax_faf99_max_joint	A	Float	Maximum filtering allele frequency (using Poisson 99% CI) across genetic ancestry groups in joint dataset
fafmax_faf99_max_gen_anc_joint	A	String	Genetic ancestry group with maximum filtering allele frequency (using Poisson 99% CI) in joint dataset
age_hist_het_bin_freq_joint	A	String	Histogram of ages of heterozygous individuals in joint dataset; bin edges are: 30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0|70.0|75.0|80.0; total number of individuals of any genotype bin: 4669|5207|48016|63811|75306|86629|111640|86238|8247|4016
age_hist_het_n_smaller_joint	A	Integer	Count of age values falling below lowest histogram bin edge for heterozygous individuals in joint dataset
age_hist_het_n_larger_joint	A	Integer	Count of age values falling above highest histogram bin edge for heterozygous individuals in joint dataset
age_hist_hom_bin_freq_joint	A	String	Histogram of ages of homozygous alternate individuals in joint dataset; bin edges are: 30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0|70.0|75.0|80.0; total number of individuals of any genotype bin: 4669|5207|48016|63811|75306|86629|111640|86238|8247|4016
age_hist_hom_n_smaller_joint	A	Integer	Count of age values falling below lowest histogram bin edge for homozygous alternate individuals in joint dataset
age_hist_hom_n_larger_joint	A	Integer	Count of age values falling above highest histogram bin edge for homozygous alternate individuals in joint dataset
gq_hist_alt_bin_freq_joint	A	String	Histogram for GQ in heterozygous individuals calculated on high quality genotypes in joint dataset; bin edges are: 0|5|10|15|20|25|30|35|40|45|50|55|60|65|70|75|80|85|90|95|100
gq_hist_all_bin_freq_joint	A	String	Histogram for GQ calculated on high quality genotypes in joint dataset; bin edges are: 0|5|10|15|20|25|30|35|40|45|50|55|60|65|70|75|80|85|90|95|100
dp_hist_alt_bin_freq_joint	A	String	Histogram for DP in heterozygous individuals calculated on high quality genotypes in joint dataset; bin edges are: 0|5|10|15|20|25|30|35|40|45|50|55|60|65|70|75|80|85|90|95|100
dp_hist_alt_n_larger_joint	A	Integer	Count of DP values falling above highest histogram bin edge DP in heterozygous individuals calculated on high quality genotypes in joint dataset
dp_hist_all_bin_freq_joint	A	String	Histogram for DP calculated on high quality genotypes in joint dataset; bin edges are: 0|5|10|15|20|25|30|35|40|45|50|55|60|65|70|75|80|85|90|95|100
dp_hist_all_n_larger_joint	A	Integer	Count of DP values falling above highest histogram bin edge DP calculated on high quality genotypes in joint dataset
ab_hist_alt_bin_freq_joint	A	String	Histogram for AB in heterozygous individuals calculated on high quality genotypes in joint dataset; bin edges are: 0.00|0.05|0.10|0.15|0.20|0.25|0.30|0.35|0.40|0.45|0.50|0.55|0.60|0.65|0.70|0.75|0.80|0.85|0.90|0.95|1.00
CTT_p_value_XX	A	Float	P-value from Hail's contingency_table_test with `min_cell_count
CTT_odds_ratio_XX	A	Float	Odds ratio from from Hail's contingency_table_test with `min_cell_count
CTT_p_value_XY	A	Float	P-value from Hail's contingency_table_test with `min_cell_count
CTT_odds_ratio_XY	A	Float	Odds ratio from from Hail's contingency_table_test with `min_cell_count
CTT_p_value	A	Float	P-value from Hail's contingency_table_test with `min_cell_count
CTT_odds_ratio	A	Float	Odds ratio from from Hail's contingency_table_test with `min_cell_count
CTT_p_value_afr_XX	A	Float	P-value from Hail's contingency_table_test with `min_cell_count
CTT_odds_ratio_afr_XX	A	Float	Odds ratio from from Hail's contingency_table_test with `min_cell_count
CTT_p_value_afr_XY	A	Float	P-value from Hail's contingency_table_test with `min_cell_count
CTT_odds_ratio_afr_XY	A	Float	Odds ratio from from Hail's contingency_table_test with `min_cell_count
CTT_p_value_afr	A	Float	P-value from Hail's contingency_table_test with `min_cell_count
CTT_odds_ratio_afr	A	Float	Odds ratio from from Hail's contingency_table_test with `min_cell_count
CTT_p_value_ami_XX	A	Float	P-value from Hail's contingency_table_test with `min_cell_count
CTT_odds_ratio_ami_XX	A	Float	Odds ratio from from Hail's contingency_table_test with `min_cell_count
CTT_p_value_ami_XY	A	Float	P-value from Hail's contingency_table_test with `min_cell_count
CTT_odds_ratio_ami_XY	A	Float	Odds ratio from from Hail's contingency_table_test with `min_cell_count
CTT_p_value_ami	A	Float	P-value from Hail's contingency_table_test with `min_cell_count
CTT_odds_ratio_ami	A	Float	Odds ratio from from Hail's contingency_table_test with `min_cell_count
CTT_p_value_amr_XX	A	Float	P-value from Hail's contingency_table_test with `min_cell_count
CTT_odds_ratio_amr_XX	A	Float	Odds ratio from from Hail's contingency_table_test with `min_cell_count
CTT_p_value_amr_XY	A	Float	P-value from Hail's contingency_table_test with `min_cell_count
CTT_odds_ratio_amr_XY	A	Float	Odds ratio from from Hail's contingency_table_test with `min_cell_count
CTT_p_value_amr	A	Float	P-value from Hail's contingency_table_test with `min_cell_count
CTT_odds_ratio_amr	A	Float	Odds ratio from from Hail's contingency_table_test with `min_cell_count
CTT_p_value_asj_XX	A	Float	P-value from Hail's contingency_table_test with `min_cell_count
CTT_odds_ratio_asj_XX	A	Float	Odds ratio from from Hail's contingency_table_test with `min_cell_count
CTT_p_value_asj_XY	A	Float	P-value from Hail's contingency_table_test with `min_cell_count
CTT_odds_ratio_asj_XY	A	Float	Odds ratio from from Hail's contingency_table_test with `min_cell_count
CTT_p_value_asj	A	Float	P-value from Hail's contingency_table_test with `min_cell_count
CTT_odds_ratio_asj	A	Float	Odds ratio from from Hail's contingency_table_test with `min_cell_count
CTT_p_value_eas_XX	A	Float	P-value from Hail's contingency_table_test with `min_cell_count
CTT_odds_ratio_eas_XX	A	Float	Odds ratio from from Hail's contingency_table_test with `min_cell_count
CTT_p_value_eas_XY	A	Float	P-value from Hail's contingency_table_test with `min_cell_count
CTT_odds_ratio_eas_XY	A	Float	Odds ratio from from Hail's contingency_table_test with `min_cell_count
CTT_p_value_eas	A	Float	P-value from Hail's contingency_table_test with `min_cell_count
CTT_odds_ratio_eas	A	Float	Odds ratio from from Hail's contingency_table_test with `min_cell_count
CTT_p_value_fin_XX	A	Float	P-value from Hail's contingency_table_test with `min_cell_count
